,query,state
137,"""Mo1Nb1Ta1V1""",Results for exact spelling
138,"""Mo1Nb1Ta1V1W1""",Results for exact spelling
139,"""Mo1Nb1Ta1W1""",Results for exact spelling
140,"""Mo1Nb1Ti1V1Zr1""",Results for exact spelling
141,"""Mo21.7Nb20.6Ta15.6V21W21.1""",Results for exact spelling
142,"""Mo25.6Nb22.7Ta24.4W27.3""",Results for exact spelling
143,"""Nb0.25Ta0.75""",Results for exact spelling
144,"""Nb0.25Ti0.75""",Results for exact spelling
145,"""Nb0.25W0.75""",Empty showing fixed spelling results
146,"""Nb0.25Zr0.75""",Results for exact spelling
147,"""Nb0.5Ta0.5""",Results for exact spelling
148,"""Nb0.5Ti0.5""",Results for exact spelling
149,"""Nb0.5W0.5""",Results for exact spelling
150,"""Nb0.5Zr0.5""",Results for exact spelling
151,"""Nb0.65Ru0.35""",Results for exact spelling
152,"""Nb0.6Re0.4""",Empty showing fixed spelling results
153,"""Nb0.75Re0.25""",Empty showing fixed spelling results
154,"""Nb0.75Ta0.25""",Results for exact spelling
155,"""Nb0.75Ti0.25""",Results for exact spelling
156,"""Nb0.75W0.25""",Results for exact spelling
157,"""Nb0.75Zr0.25""",Results for exact spelling
158,"""Nb0.8Pd0.2""",Results for exact spelling
159,"""Nb0.9Os0.1""",Empty showing fixed spelling results
160,"""Nb0.9Pd0.1""",Fully empty
161,"""Nb0.9Re0.1""",Results for exact spelling
162,"""Nb0.9Rh0.1""",Results for exact spelling
163,"""Nb0.9Ru0.1""",Results for exact spelling
164,"""Nb1Re1Ta1Ti1V1""",Results for exact spelling
165,"""Nb1Ta1Ti1V1""",Results for exact spelling
166,"""Nb1Ta1Ti1V1W1""",Results for exact spelling
167,"""Nb1Ta1V1W1""",Results for exact spelling
168,"""Nb1Ti1V1Zr1""",Results for exact spelling
169,"""Nd0.25Th0.75""",Empty showing fixed spelling results
170,"""Nd0.5Th0.5""",Results for exact spelling
171,"""Nd0.75Th0.25""",Empty showing fixed spelling results
172,"""Os0.05W0.95""",Empty showing fixed spelling results
173,"""Os0.15Ta0.85""",Empty showing fixed spelling results
174,"""Os0.15Ti0.85""",Empty showing fixed spelling results
175,"""Pd0.1V0.9""",Empty showing fixed spelling results
176,"""Pd0.2V0.8""",Empty showing fixed spelling results
177,"""Pr0.25Th0.75""",Empty showing fixed spelling results
178,"""Pr0.5Th0.5""",Empty showing fixed spelling results
179,"""Pr0.75Th0.25""",Empty showing fixed spelling results
180,"""Pt0.05V0.95""",Empty showing fixed spelling results
181,"""Pu0.25Sc0.75""",Empty showing fixed spelling results
182,"""Pu0.25Zr0.75""",Results for exact spelling
183,"""Pu0.5Sc0.5""",Empty showing fixed spelling results
184,"""Pu0.5Zr0.5""",Results for exact spelling
185,"""Pu0.75Sc0.25""",Empty showing fixed spelling results
186,"""Pu0.75Zr0.25""",Results for exact spelling
187,"""Re0.1Ta0.9""",Fully empty
188,"""Re0.1Ti0.9""",Results for exact spelling
189,"""Re0.1V0.9""",Empty showing fixed spelling results
190,"""Re0.1W0.9""",Results for exact spelling
191,"""Re0.25Ti0.75""",Empty showing fixed spelling results
192,"""Re0.25V0.75""",Empty showing fixed spelling results
193,"""Re0.25W0.75""",Results for exact spelling
194,"""Re0.2Ta0.8""",Results for exact spelling
195,"""Re0.4Ta0.6""",Results for exact spelling
196,"""Re0.4Ti0.6""",Empty showing fixed spelling results
197,"""Re0.5V0.5""",Empty showing fixed spelling results
198,"""Rh0.15Ti0.85""",Empty showing fixed spelling results
199,"""Rh0.1Ta0.9""",Empty showing fixed spelling results
200,"""Rh0.1V0.9""",Empty showing fixed spelling results
201,"""Ru0.1Ta0.9""",Fully empty
202,"""Ru0.1Ti0.9""",Results for exact spelling
203,"""Ru0.1W0.9""",Empty showing fixed spelling results
204,"""Ru0.2Ta0.8""",Empty showing fixed spelling results
205,"""Ru0.2Ti0.8""",Results for exact spelling
206,"""Ru0.2W0.8""",Results for exact spelling
207,"""Sc0.25Th0.75""",Empty showing fixed spelling results
208,"""Sc0.25Ti0.75""",Results for exact spelling
209,"""Sc0.25Y0.75""",Results for exact spelling
210,"""Sc0.2Zr0.8""",Results for exact spelling
211,"""Sc0.4Zr0.6""",Results for exact spelling
212,"""Sc0.5Th0.5""",Empty showing fixed spelling results
213,"""Sc0.5Ti0.5""",Results for exact spelling
214,"""Sc0.5Y0.5""",Results for exact spelling
215,"""Sc0.75Th0.25""",Empty showing fixed spelling results
216,"""Sc0.75Ti0.25""",Results for exact spelling
217,"""Sc0.75Y0.25""",Results for exact spelling
218,"""Sm0.25Y0.75""",Empty showing fixed spelling results
219,"""Sm0.5Y0.5""",Results for exact spelling
220,"""Sm0.75Y0.25""",Results for exact spelling
221,"""Ta0.25Ti0.75""",Results for exact spelling
222,"""Ta0.25V0.75""",Fully empty
223,"""Ta0.25W0.75""",Results for exact spelling
224,"""Ta0.25Zr0.75""",Results for exact spelling
225,"""Ta0.5Ti0.5""",Results for exact spelling
226,"""Ta0.5V0.5""",Results for exact spelling
227,"""Ta0.5W0.5""",Results for exact spelling
228,"""Ta0.5Zr0.5""",Results for exact spelling
229,"""Ta0.75Ti0.25""",Results for exact spelling
230,"""Ta0.75V0.25""",Fully empty
231,"""Ta0.75W0.25""",Results for exact spelling
232,"""Ta0.75Zr0.25""",Results for exact spelling
233,"""Tb0.25Th0.75""",Empty showing fixed spelling results
234,"""Tb0.25Y0.75""",Empty showing fixed spelling results
235,"""Tb0.5Th0.5""",Empty showing fixed spelling results
236,"""Tb0.5Y0.5""",Results for exact spelling
237,"""Tb0.75Th0.25""",Empty showing fixed spelling results
238,"""Tb0.75Y0.25""",Results for exact spelling
239,"""Th0.25Zr0.75""",Results for exact spelling
240,"""Th0.5Zr0.5""",Fully empty
241,"""Th0.75Zr0.25""",Empty showing fixed spelling results
242,"""Ti0.25U0.75""",Empty showing fixed spelling results
243,"""Ti0.25V0.75""",Results for exact spelling
244,"""Ti0.25W0.75""",Results for exact spelling
245,"""Ti0.25Zr0.75""",Results for exact spelling
246,"""Ti0.5U0.5""",Empty showing fixed spelling results
247,"""Ti0.5V0.5""",Results for exact spelling
248,"""Ti0.5W0.5""",Results for exact spelling
249,"""Ti0.5Zr0.5""",Results for exact spelling
250,"""Ti0.75U0.25""",Empty showing fixed spelling results
251,"""Ti0.75V0.25""",Results for exact spelling
252,"""Ti0.75W0.25""",Results for exact spelling
253,"""Ti0.75Zr0.25""",Results for exact spelling
254,"""U0.25Zr0.75""",Results for exact spelling
255,"""U0.5Zr0.5""",Results for exact spelling
256,"""U0.75Zr0.25""",Results for exact spelling
257,"""V0.1Zr0.9""",Empty showing fixed spelling results
258,"""V0.25W0.75""",Results for exact spelling
259,"""V0.5W0.5""",Results for exact spelling
260,"""V0.75W0.25""",Results for exact spelling
261,"""Ag0.05Rh0.95""",Empty showing fixed spelling results
262,"""Ag0.25Au0.75""",Results for exact spelling
263,"""Ag0.25Pd0.75""",Results for exact spelling
264,"""Ag0.5Au0.5""",Results for exact spelling
265,"""Ag0.5Pd0.5""",Results for exact spelling
266,"""Ag0.65Cd0.35""",Empty showing fixed spelling results
267,"""Ag0.6Li0.4""",Empty showing fixed spelling results
268,"""Ag0.75Au0.25""",Results for exact spelling
269,"""Ag0.75Pd0.25""",Results for exact spelling
270,"""Ag0.7Zn0.3""",Results for exact spelling
271,"""Ag0.85In0.15""",Results for exact spelling
272,"""Ag0.85Zn0.15""",Empty showing fixed spelling results
273,"""Ag0.8Cd0.2""",Results for exact spelling
274,"""Ag0.8Li0.2""",Empty showing fixed spelling results
275,"""Ag0.8Mg0.2""",Empty showing fixed spelling results
276,"""Ag0.8Mn0.2""",Empty showing fixed spelling results
277,"""Ag0.8Pt0.2""",Empty showing fixed spelling results
278,"""Ag0.90Al0.10""",Results for exact spelling
279,"""Ag0.9Mg0.1""",Empty showing fixed spelling results
280,"""Ag0.9Mn0.1""",Results for exact spelling
281,"""Ag0.9Pt0.1""",Results for exact spelling
282,"""Al0.05Co0.95""",Empty showing fixed spelling results
283,"""Al0.08Pt0.92""",Empty showing fixed spelling results
284,"""Al0.15Cu0.85""",Fully empty
285,"""Al0.1Ni0.9""",Results for exact spelling
286,"""Al0.1Pd0.9""",Empty showing fixed spelling results
287,"""Al0.25Co1Cr1Fe1Ni1""",Results for exact spelling
288,"""Al0.375Co1Cr1Fe1Ni1""",Results for exact spelling
289,"""Al0.3Co1Cr1Fe1Ni1""",Results for exact spelling
290,"""Al0.8Zn0.2""",Results for exact spelling
291,"""Al0.95Li0.05""",Results for exact spelling
292,"""Al0.95Mg0.05""",Results for exact spelling
293,"""Al0.9Zn0.1""",Results for exact spelling
294,"""Au0.25Cu0.75""",Results for exact spelling
295,"""Au0.25Pd0.75""",Results for exact spelling
296,"""Au0.53V0.47""",Empty showing fixed spelling results
297,"""Au0.5Cu0.5""",Results for exact spelling
298,"""Au0.5Pd0.5""",Results for exact spelling
299,"""Au0.71V0.29""",Empty showing fixed spelling results
300,"""Au0.75Cu0.25""",Results for exact spelling
301,"""Au0.7Fe0.3""",Results for exact spelling
302,"""Au0.85Fe0.15""",Results for exact spelling
303,"""Au0.85Li0.15""",Empty showing fixed spelling results
304,"""Au0.85Pt0.15""",Results for exact spelling
305,"""Au0.8Cr0.2""",Results for exact spelling
306,"""Au0.8Ni0.2""",Results for exact spelling
307,"""Au0.95Ta0.05""",Empty showing fixed spelling results
308,"""Au0.9Cr0.1""",Empty showing fixed spelling results
309,"""Au0.9Mn0.1""",Empty showing fixed spelling results
310,"""Au0.9Nb0.1""",Empty showing fixed spelling results
311,"""Au0.9Ni0.1""",Results for exact spelling
312,"""Au0.9V0.1""",Fully empty
313,"""Au0.9Zn0.1""",Results for exact spelling
314,"""Ca0.25Sr0.75""",Results for exact spelling
315,"""Ca0.25Yb0.75""",Empty showing fixed spelling results
316,"""Ca0.5Sr0.5""",Results for exact spelling
317,"""Ca0.5Yb0.5""",Results for exact spelling
318,"""Ca0.75Sr0.25""",Results for exact spelling
319,"""Co0.25Fe0.75""",Results for exact spelling
320,"""Co0.25Ni0.75""",Results for exact spelling
321,"""Co0.25Pd0.75""",Results for exact spelling
322,"""Co0.25Pt0.75""",Results for exact spelling
323,"""Co0.25Rh0.75""",Results for exact spelling
324,"""Co0.2Ir0.8""",Empty showing fixed spelling results
325,"""Co0.5Fe0.5""",Results for exact spelling
326,"""Co0.5Ni0.5""",Results for exact spelling
327,"""Co0.5Pd0.5""",Results for exact spelling
328,"""Co0.5Pt0.5""",Results for exact spelling
329,"""Co0.5Rh0.5""",Results for exact spelling
330,"""Co0.75Fe0.25""",Results for exact spelling
331,"""Co0.75Ni0.25""",Results for exact spelling
332,"""Co0.75Pd0.25""",Results for exact spelling
333,"""Co0.75Pt0.25""",Results for exact spelling
334,"""Co0.75Rh0.25""",Results for exact spelling
335,"""Co0.7Cr0.3""",Results for exact spelling
336,"""Co0.85Cr0.15""",Results for exact spelling
337,"""Co0.9Ga0.1""",Results for exact spelling
338,"""Co0.9Ge0.1""",Results for exact spelling
339,"""Co1.5Cr0.5Fe1Mn0.5Ni1""",Results for exact spelling
340,"""Co1Cr0.75Fe1Mn0.75Ni1""",Results for exact spelling
341,"""Co1Cr1.25Fe1Mn0.25Ni1""",Results for exact spelling
342,"""Co1Cr1Fe0.5Mn0.5Ni1.5""",Results for exact spelling
343,"""Co1Cr1Fe1Mn1Ni1""",Results for exact spelling
344,"""Co1Cr1Fe1Mo0.1Ni1""",Results for exact spelling
345,"""Co1Cr1Fe1Mo0.2Ni1""",Results for exact spelling
346,"""Co1Cr1Fe1Ni1""",Results for exact spelling
347,"""Co1Cr1Fe1Ni1Pd1""",Results for exact spelling
348,"""Co1Cr1Fe1Ni1Pd2""",Results for exact spelling
349,"""Co1Cr1Mn1Ni1""",Results for exact spelling
350,"""Co1Cr1Ni1""",Results for exact spelling
351,"""Co1Fe1Mn1Ni1""",Results for exact spelling
352,"""Co1Fe1Ni1""",Results for exact spelling
353,"""Co1Fe1Ni1Pd1""",Results for exact spelling
354,"""Cr0.1Rh0.9""",Empty showing fixed spelling results
355,"""Cr0.25Pt0.75""",Results for exact spelling
356,"""Cr0.2Rh0.8""",Empty showing fixed spelling results
357,"""Cr0.3Pd0.7""",Empty showing fixed spelling results
358,"""Cr0.5Pt0.5""",Results for exact spelling
359,"""Cr1Fe1Ni1""",Results for exact spelling
360,"""Cu0.1Rh0.9""",Results for exact spelling
361,"""Cu0.25Ni0.75""",Results for exact spelling
362,"""Cu0.25Pd0.75""",Results for exact spelling
363,"""Cu0.25Pt0.75""",Results for exact spelling
364,"""Cu0.5Mn0.5""",Results for exact spelling
365,"""Cu0.5Ni0.5""",Results for exact spelling
366,"""Cu0.5Pd0.5""",Results for exact spelling
367,"""Cu0.5Pt0.5""",Results for exact spelling
368,"""Cu0.75Mn0.25""",Results for exact spelling
369,"""Cu0.75Ni0.25""",Results for exact spelling
370,"""Cu0.75Pd0.25""",Results for exact spelling
371,"""Cu0.75Pt0.25""",Results for exact spelling
372,"""Cu0.85Li0.15""",Results for exact spelling
373,"""Cu0.8Rh0.2""",Results for exact spelling
374,"""Fe0.15Pt0.85""",Results for exact spelling
375,"""Fe0.25Ir0.75""",Empty showing fixed spelling results
376,"""Fe0.25Ni0.75""",Results for exact spelling
377,"""Fe0.25Pd0.75""",Results for exact spelling
378,"""Fe0.25Rh0.75""",Empty showing fixed spelling results
379,"""Fe0.5Ir0.5""",Results for exact spelling
380,"""Fe0.5Mn0.5""",Results for exact spelling
381,"""Fe0.5Ni0.5""",Results for exact spelling
382,"""Fe0.5Pd0.5""",Results for exact spelling
383,"""Fe0.75Ir0.25""",Empty showing fixed spelling results
384,"""Fe0.75Mn0.25""",Results for exact spelling
385,"""Fe0.75Ni0.25""",Results for exact spelling
386,"""Fe0.75Pd0.25""",Results for exact spelling
387,"""Fe0.75Rh0.25""",Results for exact spelling
388,"""Fe0.7Pt0.3""",Results for exact spelling
389,"""Fe0.85Pt0.15""",Results for exact spelling
390,"""Fe0.9Os0.1""",Empty showing fixed spelling results
391,"""Fe0.9Ru0.1""",Results for exact spelling
392,"""Ir0.25Ni0.75""",Empty showing fixed spelling results
393,"""Ir0.25Pt0.75""",Results for exact spelling
394,"""Ir0.25Rh0.75""",Results for exact spelling
395,"""Ir0.5Ni0.5""",Results for exact spelling
396,"""Ir0.5Pt0.5""",Results for exact spelling
397,"""Ir0.5Rh0.5""",Results for exact spelling
398,"""Ir0.75Ni0.25""",Empty showing fixed spelling results
399,"""Ir0.75Pt0.25""",Results for exact spelling
400,"""Ir0.75Rh0.25""",Results for exact spelling
401,"""Ir0.7Ru0.30""",Empty showing fixed spelling results
402,"""Ir0.85Ru0.15""",Results for exact spelling
403,"""Ir0.85W0.15""",Results for exact spelling
404,"""Ir0.8Mo0.2""",Empty showing fixed spelling results
405,"""Ir0.8Pd0.2""",Empty showing fixed spelling results
406,"""Ir0.95Ti0.05""",Empty showing fixed spelling results
407,"""Ir0.9Mo0.1""",Results for exact spelling
408,"""Ir0.9Nb0.1""",Results for exact spelling
409,"""Ir0.9Pd0.1""",Results for exact spelling
410,"""Ir0.9Ta0.1""",Fully empty
411,"""Ir0.9V0.1""",Empty showing fixed spelling results
412,"""Mo0.15Pd0.85""",Empty showing fixed spelling results
413,"""Mo0.1Rh0.9""",Results for exact spelling
414,"""Mo0.3Pd0.7""",Empty showing fixed spelling results
415,"""Nb0.05Ni0.95""",Empty showing fixed spelling results
416,"""Nb0.1Rh0.9""",Results for exact spelling
417,"""Nd0.25Th0.75""",Empty showing fixed spelling results
418,"""Nd0.5Th0.5""",Results for exact spelling
419,"""Nd0.75Th0.25""",Empty showing fixed spelling results
420,"""Ni0.25Pd0.75""",Results for exact spelling
421,"""Ni0.25Pt0.75""",Results for exact spelling
422,"""Ni0.25Rh0.75""",Empty showing fixed spelling results
423,"""Ni0.5Pd0.5""",Results for exact spelling
424,"""Ni0.5Pt0.5""",Results for exact spelling
425,"""Ni0.5Rh0.5""",Fully empty
426,"""Ni0.75Pd0.25""",Results for exact spelling
427,"""Ni0.75Pt0.25""",Results for exact spelling
428,"""Ni0.75Rh0.25""",Empty showing fixed spelling results
429,"""Ni0.75Zn0.25""",Results for exact spelling
430,"""Ni0.85Tc0.15""",Empty showing fixed spelling results
431,"""Ni0.85V0.15""",Results for exact spelling
432,"""Ni0.9Mo0.1""",Results for exact spelling
433,"""Ni0.9V0.1""",Results for exact spelling
434,"""Ni0.9W0.1""",Results for exact spelling
435,"""Ni0.9Zn0.1""",Results for exact spelling
436,"""Os0.1Pt0.9""",Empty showing fixed spelling results
437,"""Os0.1Rh0.9""",Empty showing fixed spelling results
438,"""Os0.25Rh0.75""",Empty showing fixed spelling results
439,"""Os0.2Pt0.8""",Empty showing fixed spelling results
440,"""Os0.2Rh0.8""",Results for exact spelling
441,"""Os0.45Rh0.55""",Empty showing fixed spelling results
442,"""Os0.4Rh0.6""",Empty showing fixed spelling results
443,"""Pb0.25Tl0.75""",Empty showing fixed spelling results
444,"""Pb0.5Tl0.5""",Results for exact spelling
445,"""Pb0.75Tl0.25""",Results for exact spelling
446,"""Pd0.25Pt0.75""",Results for exact spelling
447,"""Pd0.25Rh0.75""",Results for exact spelling
448,"""Pd0.5Pt0.5""",Results for exact spelling
449,"""Pd0.5Rh0.5""",Results for exact spelling
450,"""Pd0.6V0.4""",Results for exact spelling
451,"""Pd0.75Pt0.25""",Results for exact spelling
452,"""Pd0.75Rh0.25""",Results for exact spelling
453,"""Pd0.8V0.2""",Results for exact spelling
454,"""Pr0.25Th0.75""",Empty showing fixed spelling results
455,"""Pr0.5Th0.5""",Empty showing fixed spelling results
456,"""Pr0.75Th0.25""",Empty showing fixed spelling results
457,"""Pt0.25Rh0.75""",Results for exact spelling
458,"""Pt0.5Rh0.5""",Results for exact spelling
459,"""Pt0.5Ru0.5""",Results for exact spelling
460,"""Pt0.6V0.4""",Fully empty
461,"""Pt0.75Rh0.25""",Results for exact spelling
462,"""Pt0.75Ru0.25""",Results for exact spelling
463,"""Pt0.7Re0.3""",Results for exact spelling
464,"""Pt0.85Zn0.15""",Empty showing fixed spelling results
465,"""Pt0.85Zr0.15""",Empty showing fixed spelling results
466,"""Pt0.8Re0.2""",Results for exact spelling
467,"""Pt0.8V0.2""",Results for exact spelling
468,"""Pt0.9Re0.1""",Empty showing fixed spelling results
469,"""Rh0.7Ru0.3""",Results for exact spelling
470,"""Rh0.85Ru0.15""",Results for exact spelling
471,"""Rh0.9Ta0.1""",Empty showing fixed spelling results
472,"""Rh0.9V0.1""",Empty showing fixed spelling results
473,"""Rh0.9W0.1""",Fully empty
474,"""Sc0.1Th0.9""",Fully empty
475,"""Sc0.3Th0.7""",Empty showing fixed spelling results
476,"""Sc0.5Th0.5""",Empty showing fixed spelling results
477,"""Tb0.25Th0.75""",Empty showing fixed spelling results
478,"""Tb0.5Th0.5""",Empty showing fixed spelling results
479,"""Al0.03Mg0.97""",Empty showing fixed spelling results
480,"""Al0.03Sc0.97""",Empty showing fixed spelling results
481,"""Al0.1Hf0.9""",Empty showing fixed spelling results
482,"""Al0.1Ti0.9""",Results for exact spelling
483,"""Cd0.25Mg0.75""",Results for exact spelling
484,"""Cd0.5Mg0.5""",Results for exact spelling
485,"""Cd0.75Mg0.25""",Results for exact spelling
486,"""Co0.25Os0.75""",Empty showing fixed spelling results
487,"""Co0.25Re0.75""",Empty showing fixed spelling results
488,"""Co0.25Ru0.75""",Results for exact spelling
489,"""Co0.5Os0.5""",Empty showing fixed spelling results
490,"""Co0.5Re0.5""",Results for exact spelling
491,"""Co0.5Ru0.5""",Results for exact spelling
492,"""Co0.75Os0.25""",Empty showing fixed spelling results
493,"""Co0.75Re0.25""",Empty showing fixed spelling results
494,"""Co0.75Ru0.25""",Results for exact spelling
495,"""Co0.7Ir0.3""",Results for exact spelling
496,"""Co0.8Rh0.2""",Results for exact spelling
